,Bundesland,"2021
Allgemeine Deckungsmittel (Euro je Einwohner:in)",GKZ,ARS,"2021
Anteil ab 65-Jährige (%)",Kommune,"2021
Verschuldung im Kernhaushalt (Euro je Einwohner:in)","2021
Haushalte mit niedrigem Einkommen (%)","2021
Allgemeine Deckungsmittel (Euro je Einwohner:in)_normalized","2021
Anteil ab 65-Jährige (%)_normalized","2021
Verschuldung im Kernhaushalt (Euro je Einwohner:in)_normalized","2021
Haushalte mit niedrigem Einkommen (%)_normalized",socio_economic_index
105,Hessen,2.247,6434000,64340000000,23.0,"Hochtaunuskreis, LK",3.641,22.1,0.515958668197474,0.725552050473186,0.0036889564336372847,0.40774907749077494,0.6210314162001244
106,Bayern,1.814,9475000,94750000000,26.200000000000003,"Hof, LK",1.054,44.1,0.4165327210103329,0.8264984227129337,0.0010678824721377914,0.8136531365313653,1.2246867207061038
107,Baden-Württemberg,2.077,8126000,81260000000,20.3,"Hohenlohekreis, LK",524.0,33.5,0.4769230769230769,0.6403785488958991,0.5309017223910841,0.6180811808118081,1.3124383751757143
108,Niedersachsen,1.799,3255000,32550000000,26.9,"Holzminden, LK",2.078,45.5,0.4130884041331802,0.8485804416403784,0.002105369807497467,0.8394833948339483,1.2770808021486442
109,Nordrhein-Westfalen,1.73,5762000,57620000000,23.700000000000003,"Höxter, LK",823.0,46.1,0.3972445464982778,0.7476340694006309,0.8338399189463019,0.8505535055350554,2.0347829473837105
110,Thüringen,1.851,16070000,160700000000,26.9,"Ilm-Kreis, LK",833.0,51.5,0.4250287026406429,0.8485804416403784,0.8439716312056738,0.9501845018450183,2.2177078720504277
111,Sachsen-Anhalt,1.459,15086000,150860000000,27.2,"Jerichower Land, LK",1.016,53.0,0.33501722158438574,0.8580441640378548,0.0010293819655521784,0.977859778597786,1.5019161030168071
112,Rheinland-Pfalz,1.769,7335000,73350000000,22.7,"Kaiserslautern, LK",3.942,39.9,0.4061997703788748,0.7160883280757097,0.003993920972644377,0.7361623616236161,1.0500448402930953
113,Baden-Württemberg,1.844,8215000,82150000000,21.799999999999997,"Karlsruhe, LK",732.0,34.6,0.4234213547646383,0.6876971608832806,0.7416413373860182,0.6383763837638377,1.644293527268498
114,Hessen,1.931,6633000,66330000000,25.4,"Kassel, LK",1.801,39.8,0.44339839265212394,0.8012618296529967,0.0018247213779128673,0.7343173431734317,1.0940055015522174
115,Bayern,1.806,9273000,92730000000,19.4,"Kelheim, LK",347.0,37.8,0.4146957520091848,0.6119873817034699,0.3515704154002026,0.6974169741697416,1.2462790192642295
116,Bayern,1.843,9675000,96750000000,21.3,"Kitzingen, LK",533.0,41.4,0.4231917336394948,0.6719242902208201,0.5400202634245187,0.7638376383763837,1.5525904583822279
117,Nordrhein-Westfalen,1.842,5154000,51540000000,21.5,"Kleve, LK",889.0,39.0,0.4229621125143513,0.6782334384858043,0.900709219858156,0.7195571955719556,1.8755377414015646
118,Baden-Württemberg,2.028,8335000,83350000000,21.6,"Konstanz, LK",427.0,40.0,0.46567164179104475,0.6813880126182965,0.4326241134751773,0.7380073800738007,1.38634786437623
119,Bayern,1.803,9476000,94760000000,25.3,"Kronach, LK",1.11,40.0,0.41400688863375423,0.7981072555205047,0.0011246200607902736,0.7380073800738007,1.1232323670213413
120,Bayern,1.835,9477000,94770000000,25.0,"Kulmbach, LK",957.0,43.3,0.4213547646383467,0.7886435331230284,0.9696048632218845,0.7988929889298892,2.135786620636455
121,Rheinland-Pfalz,1.682,7336000,73360000000,25.299999999999997,"Kusel, LK",6.465,39.8,0.38622273249138916,0.7981072555205045,0.00655015197568389,0.7343173431734317,1.152752018178231
122,Thüringen,1.837,16065000,160650000000,28.799999999999997,"Kyffhäuserkreis, LK",1.071,52.5,0.4218140068886337,0.9085173501577285,0.0010851063829787233,0.9686346863468634,1.456423135998937
123,Hessen,2.031,6532000,65320000000,22.8,"Lahn-Dill-Kreis, LK",2.746,41.2,0.4663605051664753,0.7192429022082019,0.0027821681864235058,0.7601476014760148,1.0158121667041646
124,Bayern,2.016,9181000,91810000000,20.7,"Landsberg am Lech, LK",1.245,32.6,0.46291618828932257,0.6529968454258674,0.0012613981762917934,0.6014760147601476,0.7928180700729844
125,Bayern,2.025,9274000,92740000000,19.3,"Landshut, LK",502.0,37.0,0.4649827784156142,0.6088328075709779,0.5086119554204661,0.6826568265682657,1.3351188111440955
126,Niedersachsen,1.686,3457000,34570000000,22.1,"Leer, LK",1.17,47.6,0.3871412169919632,0.6971608832807571,0.0011854103343465045,0.8782287822878229,1.1894338589109632
127,Sachsen,1.571,14729000,147290000000,27.3,"Leipzig, LK",487.0,49.3,0.3607347876004592,0.861198738170347,0.49341438703140833,0.9095940959409593,1.9034724335422555
128,Bayern,1.877,9478000,94780000000,23.5,"Lichtenfels, LK",1.483,42.5,0.43099885189437426,0.7413249211356466,0.001502532928064843,0.7841328413284132,1.0959614434977505
129,Hessen,2.094,6533000,65330000000,22.3,"Limburg-Weilburg, LK",1.411,42.7,0.48082663605051656,0.7034700315457413,0.0014295845997973659,0.7878228782287823,1.0118958583238045
130,Bayern,1.899,9776000,97760000000,23.1,"Lindau (Bodensee), LK",941.0,39.0,0.4360505166475315,0.7287066246056783,0.9533941236068896,0.7195571955719556,1.965607427136992
131,Nordrhein-Westfalen,1.952,5766000,57660000000,23.1,"Lippe, LK",2.311,44.7,0.44822043628013775,0.7287066246056783,0.0023414387031408307,0.8247232472324724,1.1075508742611535
132,Baden-Württemberg,2.043,8336000,83360000000,21.1,"Lörrach, LK",568.0,38.8,0.46911595866819744,0.6656151419558359,0.5754812563323202,0.7158671586715867,1.4878475982915453
133,Niedersachsen,2.15,3354000,33540000000,28.6,"Lüchow-Dannenberg, LK",2.321,47.6,0.49368541905855334,0.9022082018927444,0.002351570415400203,0.8782287822878229,1.289103135537414
134,Baden-Württemberg,2.009,8118000,81180000000,20.4,"Ludwigsburg, LK",406.0,30.0,0.46130884041331793,0.643533123028391,0.41134751773049644,0.5535055350553505,1.14707733540092
135,Mecklenburg-Vorpommern,1.614,13076000,130760000000,25.5,"Ludwigslust-Parchim, LK",981.0,50.5,0.3706084959816303,0.8044164037854888,0.993920972644377,0.9317343173431734,2.359463197791409
136,Niedersachsen,1.874,3355000,33550000000,20.8,"Lüneburg, LK",2.468,43.1,0.43030998851894375,0.6561514195583595,0.0025005065856129687,0.7952029520295203,1.023544889654549
137,Hessen,2.182,6435000,64350000000,22.1,"Main-Kinzig-Kreis, LK",2.049,38.4,0.5010332950631458,0.6971608832807571,0.0020759878419452887,0.7084870848708487,0.9066906609304051
138,Bayern,1.772,9677000,96770000000,24.1,"Main-Spessart, LK",987.0,36.4,0.40688863375430534,0.7602523659305993,1.0,0.6715867158671586,2.0249504480434526
139,Baden-Württemberg,1.998,8128000,81280000000,23.3,"Main-Tauber-Kreis, LK",754.0,36.9,0.4587830080367393,0.7350157728706624,0.7639311043566362,0.6808118081180812,1.7209756773086404
140,Hessen,2.612,6436000,64360000000,21.4,"Main-Taunus-Kreis, LK",2.775,24.8,0.5997703788748564,0.6750788643533122,0.0028115501519756837,0.4575645756457564,0.5356846112761878
141,Rheinland-Pfalz,2.239,7339000,73390000000,21.9,"Mainz-Bingen, LK",734.0,29.5,0.514121699196326,0.6908517350157728,0.7436676798378926,0.544280442804428,1.4646781584617674
